,Title,Authors,Year,Source title,Document Type,Cited by,Abstract,Author Keywords,Affiliations,Authors with affiliations
1791,Relations between Speed-Accuracy Trade-Off and Muscle Synergy in Isometric Contraction Tasks,T. Sano; M. Takeda; I. Nambu; Y. Wada,2020,2020 42nd Annual International Conference of the IEEE Engineering in Medicine & Biology Society (EMBC),IEEE Conferences,0,"Muscle synergy is the theory that movements are controlled by a module of coordinated combined muscles. This theory is thought to solve the degrees-of-freedom problem in the musculoskeletal system. Previous studies have investigated the robustness of muscle synergies under conditions such as varying speeds and required degrees of accuracy. One of the principles of human movement is that when movement becomes faster, spatial accuracy is reduced. This is called the ""speed-accuracy trade-off"" (SAT), and many models have been proposed to explain this phenomenon. Studies on muscle synergies have shown that muscle synergy modules are robust against changes in speed; however, the relationship between SAT and motor control by muscle synergies remains unclear. Therefore, we investigated the relationship between changes in spatial accuracy and changes in speed and muscle synergies from measured behavioral data and surface electromyography. This was achieved by performing an isometric contraction task in which subjects exerted a horizontal force with various movement speeds. The results showed that the module structures of muscle synergies were robust against speed changes, and that the neural commands to muscle synergies changed in response to speed changes. In addition, changes in spatial accuracy with variations in speed tended to increase when movement was performed with a single muscle synergy. These results suggest that the number of muscle synergies used for movement may affect movement accuracy.",,,"Nagaoka University of Technology, Niigata, Japan; Nagaoka University of Technology, Niigata, Japan; Nagaoka University of Technology, Niigata, Japan; Nagaoka University of Technology, Niigata, Japan"
1792,Ship Detection Algorithm based on Improved YOLO V5,L. Ting; Z. Baijun; Z. Yongsheng; Y. Shun,2021,"2021 6th International Conference on Automation, Control and Robotics Engineering (CACRE)",IEEE Conferences,28,"With the rapid development of computer vision and machine vision, deep learning based methods have achieved good results in the field of target detection, recognition, and tracking. However, for ship detection and recognition on the sea surface, the detection and recognition rate is greatly affected by the uneven distribution of the horizontal and vertical features for ships and the different sizes of ships. In order to improve the ship detection accuracy and real-time performance, this paper proposed a ship detection algorithm based on YOLO V5, in which the feature extraction process was merged with the GhostbottleNet algorithm. Specifically, the algorithm consisted of two stacked GhostNet to refine and capture the image features, so as to overcome the incomprehensive feature capture problem in the original YOLO V5 network due to the inhomogeneous distribution of ship image features in transverse and vertical. Experimental results show that the proposed method not only improves the detection accuracy of YOLO V5 algorithm but also makes the GIoU decrease steadily.",ship detection;image recognition;convolutional neural network;YOLO V5,,"College of Marine Electrical Engineering Dalian Maritime University, Dalian, China; College of Marine Electrical Engineering Dalian Maritime University, Dalian, China; College of Marine Electrical Engineering Dalian Maritime University, Dalian, China; College of Marine Electrical Engineering Dalian Maritime University, Dalian, China"
1793,Weighted Scan Context: Global Descriptor with Sparse Height Feature for Loop Closure Detection,X. Cai; W. Yin,2021,"2021 International Conference on Computer, Control and Robotics (ICCCR)",IEEE Conferences,6,"In simultaneous localization and mapping (SLAM), the loop detection module has an important impact on the global consistency of trajectory and mapping. Compared to vision-based methods, LIDAR-based methods are gaining attention because they can acquire a complete 360° horizontal field of view and are not affected by changes in illumination. However, pure height features extracted from LIDAR point clouds are subject to feature degradation in specific environments. To reduce the adverse effects of height feature degradation, we propose a global descriptor, Weighted Scan Context, that uses the intensity information of the points to sparse the geometric features in the height direction. To reduce the sensitivity of cosine distance to viewpoint translation motion, a hybrid distance metric that integrates cosine distance and Euclidean distance is used to measure the similarity of two scenes. Through experiments on the KITTI dataset, the proposed method shows better performance compared to existing methods.",loop closure detection;LIDAR-based;weight scan context;distance metric,,"Department of Mechanical Engineering, Tsinghua University, Beijing, China; Department of Mechanical Engineering, Tsinghua University, Beijing, China"
1794,Edge Detection Comparison of Hybrid Feature Extraction for Combustible Fire Segmentation: A Canny vs Sobel Performance Analysis,M. A. F. Malbog; L. L. Lacatan; R. M. Dellosa; Y. D. Austria; C. F. Cunanan,2020,2020 11th IEEE Control and System Graduate Research Colloquium (ICSGRC),IEEE Conferences,5,"Fire is a dangerous environmental problem; putting the fire out in an incident area cannot be done without fire prevention equipment. Fire prevention equipment means any device, appliance, or machinery intended for use, and examples of this are fire extinguisher, fire alarm, and smoke alarm. After a fire has been dealt with, it takes a huge amount of time for an investigation to conclude the cause of the incident. Therefore, this study proposed an algorithm to detect fire and extract fire features using different image processing. This paper showed different types of algorithms in image processing and tried multiple edge detection techniques to determine which are best to apply in fire detection using image processing. It uses the RGB (Red, Green, and Blue) Color Model and HSV conversion to extract features of fire. Edge detection applying Sobel which has two separate directions the vertical and the horizontal. Canny edge detection that spots edges with noise suppressed at the same time. Canny also detects a wide variety of edges in images. With the help of these algorithms, in case of disaster especially fire, the growth of it will be so much easier to detect using this image processing and algorithm. Based on the testing, it proves that using Canny edge detection getting 98% accuracy more accurately than the Sobel edge detection technique. The algorithm of feature extraction of fire was validated and has a validating f-score of 0.98 using Canny edge detection and segmentation.",Edge Detection;Feature Extraction;Fire;Fire Detection;Image Processing,,"Department of Computer Engineering, Technological Institute of the Philippines, Manila, Philippines; College of Engineering, AMA University, Quezon City, Philippines; College of Engineering and Information, Asia Technological School of Science and Art Philippines, Sta Rosa Laguna, Philippines; Department of Computer Engineering, Adamson University, Manila, Philippines; Department of Computer Engineering, Polytechnic University of the Philippines, Santa Maria Bulacan, Philippines"
1795,Defect Recognition of Insulators on Catenary via Multi-Oriented Detection and Deep Metric Learning,L. Hu; J. Ma; Y. Fang,2019,2019 Chinese Control Conference (CCC),IEEE Conferences,4,"Nowadays in electrified railway industry, 4C running vehicle is widely used to record images of catenary for defect recognition of insulators. This paper proposes a vision-based solution that applies deep convolutional neural network to recognize defect of insulators. Two main stages are included in the proposed method. First, a framework called Angle-enhanced Faster RCNN is proposed as a multi-oriented detector to localize insulators on catenary. Then, a discriminator is proposed to decide whether an insulator is defective using deep metric learning. Compared to conventional form of detection, the detector precisely takes out insulators into horizontal position so that defect discrimination with similarity measurement can be applied. For the discriminator, a novel feature extractor based on convolutional neural network is designed and triplet loss is applied as the loss function, which is more robust than classification method when facing a lack of defective samples. Experiments indicate that this solution achieves a good performance of accuracy.",Insulator;convolutional neural network;deep metric learning;triplet loss,,"College of Electrical Engineering, Zhejiang University, Hangzhou, China; College of Electrical Engineering, Zhejiang University, Hangzhou, China; College of Electrical Engineering, Zhejiang University, Hangzhou, China"
1796,Design of measuring device bracket for distance between elevator car and shaft wall,S. Feng; J. Chen; W. Shen; K. Fang,2021,"2021 3rd International Conference on Intelligent Control, Measurement and Signal Processing and Intelligent Oil Field (ICMSP)",IEEE Conferences,3,"The distance between elevator car and shaft wall is an important index of elevator safety. Inappropriate distance may cause falling dangers. The traditional method of measuring the distance is complex and inefficient. The inspector needs to get on the car roof and operate the elevator stopping at appropriate positions in turn. Each time elevator stops, the inspector selects several points to measure. The device bracket designed in this article can make the inspection more convenient and efficient. The device is composed of a custom-designed bracket and multiple laser rangefinders which includes three horizontal ones and a vertical one. The bracket contains beam, bracket plane, telescopic bracket, adjustable screws, sliding block, magnetic base and telescopic legs. The device bracket can adjust the position and direction of the laser rangefinder and keep the device adsorbing on the car roof by magnetism. The device can measure and judge the results automatically, greatly reducing the dependence on the experience of inspectors. The measurement efficiency is significantly improved while the personnel occupation and elevator downtime are reduced. Through using this device bracket, the verification efficiency and accuracy of the inspection about the distance between elevator car and shaft wall can be significantly improved.",elevator inspection;shaft wall distance;laser ranging;support bracket,,"Elevator inspection department, Shanghai Institute of Special Equipment Inspection and Technical Research, Shanghai, China; Elevator inspection department, Shanghai Institute of Special Equipment Inspection and Technical Research, Shanghai, China; Elevator inspection department, Shanghai Institute of Special Equipment Inspection and Technical Research, Shanghai, China; Elevator inspection department, Shanghai Institute of Special Equipment Inspection and Technical Research, Shanghai, China"
1797,Subway 3D Bound Limitation Visualization Method Based on Stereo Vision,W. Lei; M. Xu; F. Hou; Y. Zhao; T. Xu; G. Liu; Q. Gu,2019,"2019 IEEE 4th Advanced Information Technology, Electronic and Automation Control Conference (IAEAC)",IEEE Conferences,1,"During subway driving, foreign objetcs such as rolling stones, pedestrians may invade subway driving safety bound, which brings safety hazards to subway normal running. One potential method to solve this problem is foreign body intrusion detection technology with 3D bound limitation visualization module. In the paper, we utilize deep learning and stereo vision technology to extract subway track from binocular camera videos, calculate 3D coordinates of subway track and the vertex coordinates of subway safty boundary section at each horizontal position. By connecting these vertices along with subway track’s direction, the bounding section can be obtained. Finally, multiple sections are combined to form a complete safety bound limitation. The proposed method releases a more intuitive and accurate intrusion determination implementation and provides a potential safty solution for subway assisting driving.",3D Bound Limitation;3D reconstruction;deep learning;stereo vision,,"School of Computer Science and Engineering, Central South University; School of Computer Science and Engineering, Central South University; School of Computer Science and Engineering, Central South University; Beijing Mass Transit Railway Operation Co.LTD, China; Beijing Mass Transit Railway Operation Co.LTD, China; Time Varying Transmission Co.LTD, China; Time Varying Transmission Co.LTD, China"
1798,Container Terminal Overland Collection and Distribution Logistics Generalized Computing Model with Computational Logistics and Case Study,B. Li; R. -h. Liu; Y. Yuan,2019,2019 Chinese Control And Decision Conference (CCDC),IEEE Conferences,1,"The overland collection and distribution of container terminal (OCD-CT) is provided with the important significances for the operation of container terminal logistics systems (CTLS), especially in China. However, the related research work is relatively scarce relative to the operational management of quay side, horizontal transferring and storage yard. Thereupon, this paper focuses on the OCD-CT from the perspective of computational logistics to demonstrate the logistics generalized computation among container gate house, external yard trailer and terminal storage yard. The container overland collection and distribution collaborative logistics generalized computing model (OCDC-LGCM) and external yard trailer comprehensive performance perspective (EYT-CPP) both are proposed together by the introduction, migration, localization, modification and fusion of the framework, mechanism and modes in computer operating system and virtual machine. Finally, OCDC-LGCM and EYT-CPP are applied to a typical container terminal to analyze and evaluate the performance of OCD-CT preliminary from the visual angle of the key indicators of external yard trailers. This case study goes further to convey the feasibility and credibility of computational logistics for CTLS.",Container Terminal;Overland Collection and Distribution;Computational Logistics;Logistics Generalized Computation;Container Gate House;External Yard Trailer;Terminal Storage Yard;Task Latency,,"School of Transportation, Fujian University of Technology, Fuzhou, China; Shandong Provincial Communications Planning and Design Institute, Jinan, China; Shandong Provincial Communications Planning and Design Institute, Jinan, China"
1799,Height Estimation of Ultrasonic Array Based on Integrated Navigation for UAVs,G. Xu; T. Meng; H. Zhang,2019,2019 Chinese Control And Decision Conference (CCDC),IEEE Conferences,1,"Aiming at the problem that the single ultrasonic sensor is not concentrated in energy and it is easy to cause false alarm and low resolution with larger beam, an ultrasonic array sensor based on small beam angle is designed to measure the true height between UAVs and the ground. Firstly, the advantage of the wide measurement angle of the ultrasonic sensor is verified by the simulation of the vertical take-off of UAVs accompanying the posture movement; Secondly, the higher resolution of the ultrasonic array sensor is verified by the simulation of UAVs flying flatly into obstacles; Finally, considering the hysteresis of the measurement data of the ultrasonic array sensor, the integrated navigation information is used to fuse by the Federated filter, and the simulation experiments are carried out under various terrain conditions. The simulation results show that the fusion results of the vertical takeoff phase of UAVs and horizontal flight into sinusoidal terrain are better than those of using ultrasonic array sensors alone.",Ultrasonic array;UAVs;Federated filter,,"School of Automation, Shenyang Aerospace University, Shenyang; School of Automation, Shenyang Aerospace University, Shenyang; School of Automation, Shenyang Aerospace University, Shenyang"
1800,Simulation Analysis and Research on the Influence of Buildings on a DVOR Station,J. Xu; J. Ye; F. Liang; Y. Li; B. Yuan,2021,"2021 IEEE 5th Advanced Information Technology, Electronic and Automation Control Conference (IAEAC)",IEEE Conferences,1,"DVOR is an important navigation device for civil aviation. Due to its own antenna characteristics and radiation pattern, DVOR station has higher requirements on the surrounding field. This paper studies the DVOR station with complex buildings around it, and restores the buildings and terrain around the station through three-dimensional simulation modeling, meanwhile analyzes the DVOR's AM modulation of 9960Hz and AM modulation of 30Hz and the alignment errors of different horizontal elevation angles. The simulation results show that moderately raising the DVOR’s counterpoise and increasing the radius of the DVOR’s counterpoise are an effective way to reduce the interference of surrounding buildings.",DVOR;simulation;building;counterpoise,,The Second Research Institute of CAAC; The Second Research Institute of CAAC; The Second Research Institute of CAAC; The Second Research Institute of CAAC; The Second Research Institute of CAAC
1801,Design and Simulation of z-folded Stirrer in Reverberation Chambers,Z. Yang; X. Zhou; Z. Zhou; H. Li,2021,"2021 IEEE 5th Information Technology,Networking,Electronic and Automation Control Conference (ITNEC)",IEEE Conferences,1,"The stirrer is the key of the performance of reverberation chambers. The function and working principle of the mechanical stirrer are expounded. In terms of length (of the corresponding modal cell), distance (away from the chamber wall) and angle (between the blades), the paper highlights these experience of the z-folded stirrer. Two z-folded stirrers, related to that of the experience, are designed, and the directions in chamber are vertical and horizontal respectively. In the frequency range of 100 – 500 MHz, electromagnetic simulation software is used to calculate the field uniformity and analyze the influence of the number of z-folded stirrers on the field uniformity in the reverberation chamber, which all implies these experience can be regarded as a guideline for z-folded stirrer.",reverberation chamber;stirrer;field uniformity;electromagnetic simulation;standard deviation,,"Research Center for Electromagnetic Environmental Effects, Southeast University, Nanjing, China; Research Center for Electromagnetic Environmental Effects, Southeast University, Nanjing, China; Research Center for Electromagnetic Environmental Effects, Southeast University, Nanjing, China; Chongqing University of Education, Chongqing, China"
1802,Research on Strategy of breaking through multi-UAV defense,C. Yu; G. Chang; X. Zhang; W. Xu,2021,2021 33rd Chinese Control and Decision Conference (CCDC),IEEE Conferences,1,"With the development of intelligent systems, multi-UAV combat will be one of the main combat styles in the future battlefield. This paper mainly studies the strategies of blue UAV breaking through red UAV defense under the condition of the width of $ABCD$ in rectangular region determined and changed. When the channel width is determined, the intercepted state of blue UAV is analyzed by using Apollonius circle, and the non-turning model aiming at the shortest time of blue UAV reaching the boundary and the turning model aiming at the highest escape success rate are established respectively, and the corresponding interception escape strategy is proposed. Through the simulation of the initial state of the blue UAV, it is concluded that the blue UAV can escape the red UAV intercepted safety area. When the channel width changes, place the centers of the red drone cluster at $D$ and $C$ respectively, and use their vertical displacement to reflect the change in channel width, and the horizontal meeting reflects the meeting of the red and blue UVA in the plane. The nonlinear relationship between the channel width and the red initial heading is analyzed by MATLAB, the lower limit of the channel width and the shortest penetration strategy are obtained.",Interception-escape strategy;Apollonius circle;Game confrontation;Encounter model,,"School of Mathematics and Statistics, Qilu University of Technology(Shandong Academy of Sciences), Jinan, China; School of Mathematics and Statistics, Qilu University of Technology(Shandong Academy of Sciences), Jinan, China; School of Mathematics and Statistics, Qilu University of Technology(Shandong Academy of Sciences), Jinan, China; School of Mathematics and Statistics, Qilu University of Technology(Shandong Academy of Sciences), Jinan, China"
1803,Development of a Test Method for Assisted Walking Trolleys,Y. Asano; H. Jinbo; N. Watanabe,2019,"2019 19th International Conference on Control, Automation and Systems (ICCAS)",IEEE Conferences,1,"Manufacturers have recently been developing assistive walking devices with electric motors, based on rollators and walking trolleys, in Japan. These assistive devices have electric motors to assist walking on sloped surfaces. Furthermore, they have a function that automatically suppresses the speed on downhill slopes. Here a walking experiment was conducted to investigate the speed at which the suppression function needed to be applied in various walking conditions. The subjects in the experiment walked while leaning on the assistive device, applying forces of 37 (horizontal) and 204 N (vertical) on downhill slopes. Furthermore, an analysis of the walking data obtained from traditional walking trolleys revealed that 80% of the subjects walked at a speed of 2.5 km/h or more. Two experiments were conducted to develop a test method that analyzed the performance of the suppression function on downhill slopes. The proposed test method results yielded sufficient accuracy.",Walking trolleys;Rollators;Assistive device;Power Assist;Safety,,"Robot Development Assistance Division, Japan Automobile Research Institute, 2530, Krima, Tsukuba, Ibaraki, Japan; Robot Development Assistance Division, Japan Automobile Research Institute, 2530, Krima, Tsukuba, Ibaraki, Japan; Robot Development Assistance Division, Japan Automobile Research Institute, 2530, Krima, Tsukuba, Ibaraki, Japan"
1804,Application of IoT: A Study on Automated Solar Panel Cleaning System,S. Gochhait; R. Asodiya; T. Hasarmani; V. Patin; O. Maslova,2022,"2022 4th International Conference on Electrical, Control and Instrumentation Engineering (ICECIE)",IEEE Conferences,1,"In the globe, there are two forms of energy: renewable and non-renewable. Every day, the amount of energy consumed rises. People are shifting to renewable energy as a result of carbon dioxide emissions. Renewable energy sources include solar, wind, and geothermal energy. The sun radiates solar energy, which is potential energy. Solar panels are used to produce power from solar energy. Solar plants are employed in a dusty climate, such as that seen in tropical nations like India. Dust on PV panels reduces the efficiency of the panels' ability to generate power by 50 percent. Cleaning solar panels is necessary because dust decreases the producing power of PV panels by blocking the intensity of light and raising the temperature of the panels. Human resources have traditionally cleaned panels. It's a time-consuming and costly job. Solar panels are also damaged during manual cleaning. The automated system can easily clean it. The automatic solar panel cleaning system has the potential to boost efficiency by 32 percent. PV panels may be cleaned with or without water using this system. With the use of automation and the Internet of Things, it can be fully automated. Cleaning using an automated system consumes less water and is more efficient. With the help of sensors, microcontrollers, and other devices, this machine can work both manually and automatically. It features a horizontal and vertical frame that allows it to clean a number of panels back and forwards. Data on generation and efficiency is monitored via systems. By cleaning the panels on a regular basis, it can increase efficiency by 1.6 to 2.2 percent. The many aspects of cleaning solar panels and the automated solar panel cleaning system are covered in this literature review.",Automated Solar Panel Cleaning System;Solar PV System;renewable energy;cleaning system,,"Symbiosis Inst.of Digital &Telecom Mangmt, Symbiosis International Deemed University, Lavale Pune, India; Symbiosis Inst.of Digital &Telecom Mangmt, Symbiosis International Deemed University, Lavale Pune, India; Department of Engineering Science, Bharati Vidyapeeth College of Engineering, Lavale Pune, India; Neurosciences Research Institute, Samara State Medical University, Samara, Russia; Neurosciences Research Institute, Samara State Medical University, Samara, Russia"
1805,Designing Protractor and Compass Learning Aid for Visually-Impaired Primary Students,U. Hatthasin; P. Piyawongwisal,2020,2020 59th Annual Conference of the Society of Instrument and Control Engineers of Japan (SICE),IEEE Conferences,0,"This paper presents a design and implementation of an inexpensive learning aid device for teaching visually-impaired students the concepts of angles and directions. The device combines the feature from regular protractor and compass, with added functionalities such as Braille labels and voice, allowing students to learn and review the concepts without frequent intervention from the teachers. This is achieved by using Arduino microcontroller with a variable resistor to detect the pointer's movement and orientation. When the pointer is adjusted to a desired angle, the device speaks in user's preferred language the angle in degrees using the sound module. Our proposed device can tell from 0 - 360 degrees on horizontal plane in 5-degree increment. Evaluation of the device was conducted with 2 groups of volunteers, both sighted and visually-impaired students, who tested all features of the device and provided scores in 4 aspects which are ease of use, design, operation on angle mode, and operation on direction mode. The device received overall high scores in all aspects from both groups, indicating the viability of using the device in a real school setting.",Visually-impaired students;Protractor;Compass;Learning Aids;Arduino,,"Department of Computer Engineering, Faculty of Engineering, Rajamangala University of Technology Lanna (RMUTL), Chiang Mai, Thailand; Department of Computer Engineering, Faculty of Engineering, Rajamangala University of Technology Lanna (RMUTL), Chiang Mai, Thailand"
1806,Parameter design and response research of ahead detection half-coil induction logging,J. Wu; Z. Gao,2022,"2022 4th International Conference on Intelligent Control, Measurement and Signal Processing (ICMSP)",IEEE Conferences,0,"With the deepening of oil and gas exploration, drilling has developed from vertical wells to directional wells, cluster wells, and then to horizontal wells, well factories and other complex structures. Advanced steerable drilling technology is required to prevent well collisions, avoid obstacles, etc., to ensure that the wellbore trajectory is drilled along the expected trajectory, and to ensure the best oil production capacity. This paper mainly studies the parameter design of induction logging based on the half-coil principle and calculates the influence of the operating frequency on the induced electromotive force of the receiving coil. It provides a theoretical basis for tool design and an analytical tool for the interpretation and evaluation of logging responses. The research shows that: the half-coil is sensitive to the working frequency; the signal strength of the half-coil increases first and then decreases with the increase of the frequency; when the frequency is small, the signal strength is less affected by the distance between transmit and receiver coil, and when the frequency is high, the signal strength increases. The strength is greatly affected by the distance between transmit and receiver coil, and the signal is seriously attenuated.",component;half-coil;ahead detection;response research,,"School of electronic engineering, Xi'an Shiyou University, Xi'an, Shaanxi, China; School of electronic engineering, Xi'an Shiyou University, Xi'an, Shaanxi, China"
1807,Spurious Free SAW Resonators on LiNbO3/SiO2/ Quartz Substrate for Wideband Application,Y. Chen; J. Wu; X. Zhao; X. Ke; S. Zhang; P. Zheng; K. Huang; X. Ou,2023,2023 Joint Conference of the European Frequency and Time Forum and IEEE International Frequency Control Symposium (EFTF/IFCS),IEEE Conferences,0,"SummaryIn this work, the LiNbO3/SiO2/Quartz substrate (LiNbO3-on-quartz, LNOQ) was fabricated in wafer scale using ion-cut process. 3D finite element analysis was used to design this structure. The 36°YX quartz was chosen to achieve good confinement of acoustic energy. The 42°YX LN was chosen to get large electromechanical coupling coefficient (k2) and suppress the Rayleigh mode. The 4-inch LNOQ wafer shows high film thickness uniformity of 597.8 nm ±1.8%. The fabricated shear horizontal surface acoustic wave (SH-SAW) resonator shows large k2 of 28.1% and high-quality factor of 959, thanks to the good confinement of acoustic energy and low RF loss of quartz. Besides, the resonators show clean out of band response due to the moderate acoustic velocity of quartz.",Surface acoustic wave resonator;LiNbO3-on-quartz;spurious modes,,"National Key Laboratory of Materials for Integrated Circuits, Shanghai Institute of Microsystem and Information Technology, Chinese Academy of Sciences, Shanghai, China; National Key Laboratory of Materials for Integrated Circuits, Shanghai Institute of Microsystem and Information Technology, Chinese Academy of Sciences, Shanghai, China; National Key Laboratory of Materials for Integrated Circuits, Shanghai Institute of Microsystem and Information Technology, Chinese Academy of Sciences, Shanghai, China; National Key Laboratory of Materials for Integrated Circuits, Shanghai Institute of Microsystem and Information Technology, Chinese Academy of Sciences, Shanghai, China; National Key Laboratory of Materials for Integrated Circuits, Shanghai Institute of Microsystem and Information Technology, Chinese Academy of Sciences, Shanghai, China; National Key Laboratory of Materials for Integrated Circuits, Shanghai Institute of Microsystem and Information Technology, Chinese Academy of Sciences, Shanghai, China; National Key Laboratory of Materials for Integrated Circuits, Shanghai Institute of Microsystem and Information Technology, Chinese Academy of Sciences, Shanghai, China; National Key Laboratory of Materials for Integrated Circuits, Shanghai Institute of Microsystem and Information Technology, Chinese Academy of Sciences, Shanghai, China"
1808,Analysis of Key Influencing Factors of Equipment Battlefield Damage Test Design,C. Cai; S. Quan; W. Ya-dong; Y. Zhi-feng,2019,2019 Chinese Control And Decision Conference (CCDC),IEEE Conferences,0,"In the design of the battlefield damage test, in order to reduce the cost of the test and obtain more equipment damage data, it is necessary to analyze the primary and secondary relationship of each test design factor. Firstly, the test plan is formulated by useing orthogonal test, and then a large amount of equipment battlefield damage simulation data is collected by using the equipment battlefield damage simulation platform. Finally, the gray correlation analysis method is used to analyze the test data, and the quantitative index of the correlation between the test performance and the main design factors of the test design is obtained. The analysis results show that the degree of influence of the experimental design factors on the test performance is ranked as: the distance of the explosion point > the vertical height of the ammunition from the ground > the horizontal angle of the ammunition > the elevation angle of the ammunition. The analysis results provide theoretical support for the design and optimization of the equipment battlefield damage test program.",Equipment Design;Orthogonal Test;Grey Correlation;Numerical Simulation,,"Equipment Command and Management Department, Army Engineering University of PLA, Shijiazhuang; Equipment Command and Management Department, Army Engineering University of PLA, Shijiazhuang; Equipment Command and Management Department, Army Engineering University of PLA, Shijiazhuang; Equipment Command and Management Department, Army Engineering University of PLA, Shijiazhuang"
1809,Markov Random Field Function minimized by Stochastic Gradient Descent,L. R. Román Rivera; J. C. Pedraza Ortega; M. A. Aceves Fernandez; J. M. Ramos Arreguín; E. G. Hurtado; J. E. Vargas Soto,2019,"2019 16th International Conference on Electrical Engineering, Computing Science and Automatic Control (CCE)",IEEE Conferences,0,"A Markov Random Field Function (MRF) is used to evaluate optical flow from two consecutive images in time, it requires to be minimized or maximized an error output in order to accept or reject a optical flow value for one pixel intensity in the first image with respect a pixel intensity in the second one. In the present paper, Stochastic Gradient Descent is proposed as an optimization method to minimized the error in the Markov Random Field Function, Gradients are computed in horizontal and vertical axis to get a direction which is used to compute the following value to be evaluated by the function until convergence is reach respect a stop condition. Experiments used a pair of images taken using only one camera from the same scene, one image taken after the other with overlapping and non overlapping image sections. A pixel is selected from the first image, then evaluating the correspondence in the second image with the MRF Function, if it returns an aceptable minimum error value, and optical flow value is obtained. The method proposed in the present paper is used to compute this minimum error value using Stochastic Gradient Descent (SGD) as a minimization method, experiments will probe SGD can be used for this goal and the proposed method will be discussed describing how it works locating the optical flow in a localized area in the pixel neighborhood of the first image.",Markov Random Field;Stochastic Gradient Descent;Optimization,,"Facultad de Ingeniería, Universidad Autónoma de Querétaro, Querétaro, Mexico; Facultad de Ingeniería, Universidad Autónoma de Querétaro, Querétaro, Mexico; Facultad de Ingeniería, Universidad Autónoma de Querétaro, Querétaro, Mexico; Facultad de Ingeniería, Universidad Autónoma de Querétaro, Querétaro, Mexico; Facultad de Ingeniería, Universidad Autónoma de Querétaro, Querétaro, Mexico; Facultad de Ingeniería, Universidad Autónoma de Querétaro, Querétaro, Mexico"
1810,Mathematical Modeling Based on Three-point Shooting,Q. Feng,2020,"2020 5th International Conference on Mechanical, Control and Computer Engineering (ICMCCE)",IEEE Conferences,0,"With the popularity of basketball, the tense, fierce atmosphere and more aggressive defense in basketball games have caused the shooting percentage to be greatly reduced. According to research, there are two key shooting models that affect the shooting rate. Starting from the shooting angle of the ball when shooting, the shooting speed, the horizontal distance between the center of the basketball and the center of the basket, as well as the relationship between the basketball incident angle, various factors are analyzed. The author analyzed impact on the shooting percentage, and made appropriate assumptions, in the case of a reasonable estimate of the distance between the shooting point and the center of the basket and maintaining a stable shooting speed, determined the best shooting angle and best shooting speed for shooting, and obtained a capable. Through this paper, it can be concluded that the shooting angle can improve the shooting rate without using too much physical energy when shooting. In addition, it is hoped that the model can be applied to other fields in the future.",basketball;three-point shots;shot speed;shot angle,,"Gould Academy, Bethel, United States"
1811,Terrain Feature Extraction Method of Digital Transmission Line based on Depth Self Encoder,T. Jie; Z. Hanghang,2022,"2022 Second International Conference on Advanced Technologies in Intelligent Control, Environment, Computing & Communication Engineering (ICATIECE)",IEEE Conferences,0,"A terrain feature extraction method of digital transmission line based on depth self encoder is proposed. The proposed method adopts maximum likelihood estimation algorithm and minimum mean square error (MMSE) method, which can extract terrain features with high accuracy. The technology has been tested in three different cases, including case 1, where there is no obstacle in front of the transmitter, case 2, where there is an obstacle in front of the transmitter, and case 3, where there is an obstacle behind the receiver. The results show that for all three cases, features can be extracted with reasonable accuracy. This technique uses the depth information of a single channel to determine the height of a hill or valley in an image captured at different angles relative to the horizontal plane. The height is estimated by comparing the distance between points on two images taken at different angles and intervals",Depth self encoder;Feature extraction;Transmission line,,"CSG EHV Power Transmission Company, Guangdong, Guangzhou, China; CSG EHV Power Transmission Company, Guangdong, Guangzhou, China"
1812,The Mode and Definition of the Content Variation Angle by Yang Dongfang,D. Yang; D. Lin; Y. Zhang; X. Yuan; H. Li,2019,"2019 4th International Conference on Mechanical, Control and Computer Engineering (ICMCCE)",IEEE Conferences,0,"This paper studies the content change of Pb in the surface and bottom water of Jiaozhou Bay and its settlement process according to the investigation materials in May, August and October in the year 1991. The author comes up with the definition and mode of Yang Dongfang content variation angle. Through the changing process of the content variation angle, this study determines the changing degree to which the substance content varies over time, and gives the standard of changing degree. Classifying the Yang Dongfang content variation angle in the interval [-90°,90°] to many intervals [-90°,-60°,-45°,-30°, 0°,30°,45°,60°,90°], this study elaborates the standard of changing degree to which the substance content changing over time, and quantitatively reveals the horizontal changing process of substance content in the surface and bottom layers and vertical changing process between surface and bottom layers. Calculating the result based on the definition and mode of Yang Dongfang content variation angle, the author gets the conclusion that the Yang Dongfang content variation angle is 79.15°in the surface water from May to August, and -83.96°from August to October. In the bottom water, it is 81.68°from May to August and -84.25°from August to October. According to the scale of temporal and spatial variation, human activity has directly increased the Pb content in surface layer to a higher degree, and may also radically decrease the Pb content to a lower level. Furthermore, the Pb content in the bottom and surface layers varies the same after getting through the water body. As the changing over time, the decrease of Pb content in surface and bottom water body is consistent under the effects of gravity and water stream. Therefore, human beings must keep a clean marine environment and reduce the emission of Pb content as far as possible.",Content variation angle;definition and mode;Pb content;temporal and spatial variation;Jiaozhou Bay,,"Accountancy School, Xijing University, Xi’an, China; Accountancy School, Xijing University, Xi’an, China; Accountancy School, Xijing University, Xi’an, China; Accountancy School, Xijing University, Xi’an, China; Accountancy School, Xijing University, Xi’an, China"
